channel,participant_id,time_of_day,minute,AU,mean,median,std,min,max,range,rms,variance,cv,trend_slope,trend_r2,autocorr_lag1,fft_mean,fft_max,dominant_freq
R,3,morning,0,0.656269734493836,122.58202580600438,123.15642395602626,6.048353051863394,109.33534647864748,132.2157274505475,22.88038097190001,122.73115181299289,36.58257463998523,0.04934127178597923,-0.12397734965413709,0.1260117459822443,0.9270378231802521,24.505467071083686,189.1751422753429,1.0
R,3,morning,1,0.656269734493836,108.66552408026087,105.50477454898567,7.452865039459788,101.92695285410228,127.78950443083332,25.862551576731036,108.92080297598872,55.54519729640195,0.06858536874371686,-0.2862988168949628,0.44258143599841776,0.9722040188999038,31.615512376044638,224.74197408909112,2.0
R,3,morning,2,0.656269734493836,107.14012359925285,106.27788464508959,3.664777267070874,100.29759556538924,115.52513506224255,15.22753949685331,107.20278297357963,13.430592417239463,0.03420546050923518,0.03844445468250132,0.033004475923700656,0.90231846954048,15.22186869411297,113.94338154624533,1.0
R,3,morning,3,0.656269734493836,106.96783783575835,106.40994697549696,3.0334714364021997,101.95303569253542,114.11291449595228,12.15987880341686,107.01084188161761,9.201948955468024,0.028358724430574137,-0.011617246971095821,0.004398729187680677,0.8857143780485124,14.295422459679626,60.34117456273851,4.0
R,3,morning,4,0.656269734493836,105.3432939473498,105.5363458248153,1.4646410220615766,101.88957093322348,109.67876463398704,7.789193700763562,105.35347527728383,2.14517332350558,0.013903505074129957,0.029829071270521146,0.12439922552802672,0.8421183907464822,7.479678210710213,28.308015629679744,3.0
R,3,morning,0,1.28603069134631,128.2997303489261,130.7801447261649,6.927110177731153,109.84242705846886,134.1029975439449,24.260570485476038,128.48659721162196,47.98485541442653,0.05399161914333064,0.31858579024642,0.6343796055171602,0.9892413989265286,32.98314669936646,189.4256862318487,1.0
R,3,morning,1,1.28603069134631,134.7405918650217,134.86801427142046,0.6540301844052964,132.83336372072105,135.48176852636527,2.648404805644219,134.74217918535555,0.42775548211322595,0.004853995186631957,0.004351768576649089,0.013278120336119921,0.926904992238953,2.6158481817151005,19.046348278812633,1.0
R,3,morning,2,1.28603069134631,133.60001956424267,133.94629874313466,1.7570149363017977,128.31163156351886,136.17736651580503,7.865734952286175,133.61157258655558,3.0871014863876103,0.013151307476608635,-0.012802212908895206,0.01592281263558672,0.8769906357939359,9.141840750375582,42.68386321399762,1.0
R,3,morning,3,1.28603069134631,132.04437191172573,132.1362890292009,2.7837659235499976,127.0522914975463,137.42753767525784,10.375246177711531,132.07371239682504,7.74935271711817,0.021082049034245695,0.06531976300757456,0.16512938855263584,0.8989338566630896,12.294700306427249,62.81533767968869,1.0
R,3,morning,4,1.28603069134631,135.88217197546825,136.49731811028576,1.8302701436111994,130.45125136743812,137.79337598160126,7.34212461416314,135.8944978634872,3.3498887985945602,0.013469538474899675,0.0892363699331145,0.7129416721267459,0.9758182381962754,9.517446634874302,52.06826380828538,1.0
R,3,afternoon,0,2.42474413004214,127.4964321558641,127.20590301324711,3.5404769650187307,122.13223908222828,139.4270406703543,17.29480158812602,127.54558083138234,12.534977139828243,0.02776922385100795,-0.09927990082064386,0.23583036524271825,0.9223072728301411,20.30617677002436,78.44358486029859,2.0
