t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,file,AU,date,time_of_day,minute,channel,participant_id
119.13179950898603,121.43774923032124,123.2099316094884,124.44834664648754,125.15299434131865,125.32387469398203,126.74576042991738,125.39917095518967,123.10291630256413,117.99819846588228,115.09153337803713,113.39233980276435,113.24698904695776,114.52119626811124,118.23676205664545,124.42326400830098,127.55421803799602,129.35729618851826,129.59421381455036,127.56585018020036,127.56183856408111,127.39636795690647,127.28651119682549,127.37467342848548,127.6699499210714,128.0052464267715,128.3742744280865,129.25796718252872,129.5944522575768,128.91610352740722,128.83067928101048,128.855342844967,129.0440886163205,129.41633831852857,132.2157274505475,130.06771506028596,130.98712231650202,128.21533236535006,124.9718818870691,122.06639166791332,120.85058938586866,122.24520837723408,122.57123249814094,122.4008110072008,120.79985218955046,116.2554743418754,116.45134835928243,113.66498569953768,115.8540844841782,117.43689192290252,116.63222707724928,121.20443649683384,121.49398085263655,119.20105344139311,112.7303567409294,109.92800248200616,109.33534647864748,111.14652130235125,115.56569597345006,118.1110395845398,22-12-28-rings-morning_min0,0.656269734493836,2022-12-28,morning,0,R,3
119.6007249256122,125.29790868076194,127.4241213674654,127.78950443083332,127.65352167988408,127.24331593944352,125.440438636497,122.30512737835193,118.09613542184827,114.58174512022312,109.42538598401948,107.26957903541852,105.75360686820818,105.38057781140496,106.79972039573904,106.58749245133156,106.11516319015468,105.1101310709544,103.77544603424168,102.65144494292484,102.09656518219673,103.464376590689,105.11154978518616,106.1627997280622,105.62897128656638,106.57733110905534,106.79078760819084,106.44899883533996,104.40929969073264,103.21807703233762,104.16939738297152,104.9771766166336,107.59713827385208,110.4314045182143,110.5284823985984,112.5170171591188,114.40913250823056,114.13636013073852,111.84881674369302,110.12775484653754,108.15478691124277,105.26535612868771,104.54513147076872,104.79043137038032,103.22938772166049,103.38090280008127,104.7684697823989,104.81906020138152,104.66333375640758,104.12736307276845,103.22364598791316,101.92695285410228,102.48569947180476,102.56808026934036,102.54912336253189,102.50334683220456,102.6737951328189,102.8566398889742,103.27162981490494,103.17577919301502,22-12-28-rings-morning_min1,0.656269734493836,2022-12-28,morning,1,R,3
103.06930850905628,103.18603783726876,103.24903891060698,103.2940627337087,103.51999089590468,103.70483158908984,103.96387404876832,104.25255250000316,103.80921041022334,104.59948309044448,105.40632494300404,106.08502510969174,106.2763142975176,106.23933027843188,106.0341598731659,105.62826820773952,104.40710268553096,103.81942189895533,103.7107730543419,106.00179057659236,107.86853172599707,110.56855483029372,112.21094850168394,112.84652419000264,112.4230307403717,111.01575189465686,107.73857280327948,106.09663546531692,105.5686409293958,106.0511738858228,107.63646138870834,110.34756423914018,112.34849384158382,114.67916497739358,115.52513506224255,114.78642696605591,112.3848017413662,110.48311633315376,106.27945499266156,106.7228131591745,106.89091126772853,105.15822916444851,108.26853254823044,111.11541822177668,111.18720846886742,112.06176002081853,109.7760165502714,107.7788374694845,107.42655841767912,110.15957371745858,109.25898865157836,107.16961424427866,108.67855867178716,107.38496096224463,105.12011494147906,103.915514302923,100.73003019974472,100.29759556538924,101.07530436354656,101.11498908708842,22-12-28-rings-morning_min2,0.656269734493836,2022-12-28,morning,2,R,3
101.95303569253542,103.54107059361957,105.42759828456217,107.54197211366152,110.23097797701158,110.7965262907524,111.75109311295412,111.11936387629171,108.94933479136888,107.12709049526867,105.46728274667208,104.07166530955176,103.13243474614988,102.7057745034248,103.03762699732296,102.44436362347204,103.45867645809084,102.56678149991296,103.00438641858904,104.36964312442312,106.61447385845224,110.12096097038436,111.3068027923839,113.46894463563476,114.11291449595228,113.39091963981124,110.22198971118584,108.17496507574234,106.08544801698253,105.46116615882494,106.34854609846128,109.52493569170424,109.98050407161875,111.65184623284377,110.64336523204328,109.52097558118685,108.65871854031548,109.03292056340224,105.7485246338798,106.47134785253265,107.42247619400932,108.92687693218232,108.5208771843253,107.63112022920048,106.20685679221091,105.718773084502,105.7110320583516,104.59187002416448,103.16149767687229,104.41456298259064,104.44601798483666,104.00564544179812,104.5038422688426,105.51019392391495,106.13463591746827,106.66332430373478,106.8633582368156,106.66630848751976,106.24717777231484,105.48685414086812,22-12-28-rings-morning_min3,0.656269734493836,2022-12-28,morning,3,R,3
104.43098745872216,103.34604716030528,103.43504696909024,103.6202802817845,103.70056559434522,104.03321697291456,104.03354961353816,104.27685947421912,104.52208560540193,105.5175440878276,104.72205661333416,104.18478172931034,102.1007573606848,101.88957093322348,104.4196504987735,106.25936080110068,107.44850361395208,108.55968800091118,109.31806613298257,109.67876463398704,107.6520731326854,105.67284878551804,102.8106927140216,102.73629721241188,104.17457943095492,104.24760266198062,104.36818432921478,104.59801556649217,104.89642795092536,105.148106581952,105.47965182684138,105.95905411156076,106.23619981560104,106.49459132144032,106.65918010467254,106.58253304515256,106.33451097975842,106.09118466888792,105.78138647251022,105.44656880162064,105.30891036364793,105.25962924534144,105.17220883791424,105.31312613751628,105.5009995955601,105.555147561803,105.62597306330252,105.8135227247905,105.85062462122156,105.8828045282215,105.92359629896636,105.91576048951084,105.91944342766642,105.94248773036892,105.87492577518,105.81400950611922,105.80325665003431,105.64306918360693,105.67622396006232,105.9348440895434,22-12-28-rings-morning_min4,0.656269734493836,2022-12-28,morning,4,R,3
109.84242705846886,110.94031131246405,111.99304916657049,113.00064062078816,113.96308567511709,114.8803843295576,114.38878156920636,113.76617345958724,116.06190779693296,118.6842411983956,121.5816497792332,124.71119605564007,127.9854756377191,130.26621000625994,132.44062538455728,131.09097755258043,130.43847637978791,128.25520032523195,129.08798769917436,130.3089523395459,129.41921502395007,129.12346814989934,129.30105175724364,129.75111444664032,130.5411228883137,129.15392662588334,129.1389703169624,129.4971103129796,130.21642121517291,131.45384855613824,130.5257149390868,130.62434781659587,130.6999503560382,130.86033909629165,130.99613750030022,131.25952122414182,131.8476057703429,132.57885688712994,133.3442029219869,133.8863057588348,134.1029975439449,134.0525558959486,133.90608558974884,133.47837031161734,132.78419423294594,132.12274813289423,131.8349886710973,131.6660311592678,131.7038948545196,131.9239491286842,132.24042143735213,132.71600574436204,133.17653650354004,133.50324323035082,133.66903634385466,133.78405381761303,133.73158180702447,133.480526199049,133.2156441950931,132.9839712259071,22-12-27-rings-morning_min0,1.28603069134631,2022-12-27,morning,0,R,3
132.83336372072105,132.943768577744,133.25899742913313,133.73035337499476,134.22741327736168,134.8029938516415,135.17818274530077,135.26819254472784,135.1139794513888,134.79744549203488,134.5413269814939,134.30495636479029,134.12669512435426,134.114672297295,134.36578430048814,134.6920241665303,134.93809166129708,135.04823859610582,135.09981252801276,135.02855585659998,134.97245191313914,134.8475076008899,134.83626170722988,135.20924294521012,135.40277830548058,135.47215093357417,135.4354457718733,135.45901840374717,135.4710816249944,135.44526814467952,135.41416146208743,135.27716537802667,135.14555345148153,135.1708656289972,134.87480201033833,134.68068933417572,134.86122653250257,134.75893865804267,134.79780420749887,135.2740032665193,135.41677174765837,135.48176852636527,135.4547551240415,135.38733383864724,135.18360483833058,134.97465688633426,134.8056422713069,134.33178947871835,134.26977313965423,134.53676403825114,134.77141124021074,135.08365049802512,135.1709627938946,135.0563232311535,134.59864326420512,134.23294680928612,133.87808337161434,133.67744355295707,133.48973435718267,133.41218727096063,22-12-27-rings-morning_min1,1.28603069134631,2022-12-27,morning,1,R,3
133.54851128041415,133.54978583407896,133.4173642584364,133.32763283014077,133.3479043500581,133.20311360176925,133.32079020548895,133.2085316586294,132.80930188707433,132.29989023367017,131.47742209227275,131.1517850450802,131.2622891461268,131.83654837776115,132.62899235861687,133.4135227346031,134.37528963161753,134.589337060283,134.7449197701627,134.8816627123404,135.12022898867178,135.19541968281845,135.61620032877124,135.71888804060282,135.64993283521275,135.5342376718735,134.96621649053384,134.20230854075777,133.92817527229747,133.94590136353136,134.19015439396577,133.70215556410022,133.94669612273793,134.21421929970063,134.42893756733295,134.53766519968556,134.61720069556858,134.46232563779006,134.96447666059987,135.30603781743395,135.37662812751097,135.12662606760586,135.15798749337495,135.3040078913577,135.1124230970389,136.17736651580503,134.35310100979052,132.5868810953349,131.26958021773595,129.9390824735271,129.95266605363895,130.4695034515991,131.7345286363251,132.65290904815075,135.5060292180435,135.90066087274025,133.28840134678023,131.5607220417313,129.57846439033918,128.31163156351886,22-12-27-rings-morning_min2,1.28603069134631,2022-12-27,morning,2,R,3
128.24929384394304,128.40274153220508,129.14876582475415,130.8684109616501,131.243399416969,128.6239254964641,127.90748320244766,127.79617390757342,128.3191639189132,129.6137769145234,130.7937800385191,131.84972045522477,132.8911276493,133.47089304595085,133.19047614288365,130.50356156994937,129.1271923643415,129.03504435087302,128.64040430277575,129.71155746617697,130.74229735346967,131.90454423585754,133.11800378022696,134.2784232457601,136.27281704989323,135.31860519631462,135.1977646659401,136.76869138674934,135.53296217058673,132.47973477284592,130.38836953627842,128.476161793848,127.45051510766636,127.0522914975463,128.45658821712922,130.87552875272652,133.25924549101683,136.82986633476838,137.42753767525784,136.2714606162094,136.56017469661526,135.95821269239255,135.50335562362568,135.24381210229666,134.91359574783638,133.9056474699173,133.7266516995418,133.60797249219493,133.44566829138637,133.2904654334967,133.04619800761395,132.90273423470984,132.75104764971297,133.16191646980914,132.36803382254425,131.61485459999477,131.63076471437526,130.86406366925263,130.40207774054485,130.2767662601525,22-12-27-rings-morning_min3,1.28603069134631,2022-12-27,morning,3,R,3
130.45125136743812,130.9910796566494,131.79758184784754,133.2176797052492,134.14519190415498,134.84187884116662,135.1900618979682,135.32924774963666,135.27324798813672,134.97638495439958,134.45969480345642,133.89648032651854,133.36531436969486,132.63408434607788,132.4202939285524,132.62284388106815,133.22278414868862,134.29527010880554,134.93325744373433,135.64815161232283,136.25883751313603,136.65997317922003,136.8067061878283,136.8625943281872,136.56272074448225,136.2832252155777,136.08579227005268,136.01864695434506,136.00138748165662,136.11117452876715,136.30722176937277,136.59508454656788,137.21463814551532,137.2109145610498,136.75384840256743,136.62262068199996,136.84935092821055,136.53184625126488,136.3984191028793,136.36110621910433,136.46278996930664,136.7431536573785,137.0593572544253,136.84004900835578,137.14394193149826,137.4246177320004,137.79337598160126,137.57261092748442,137.61564112428414,137.59073542668312,137.5562646218803,137.5690164186946,137.63150562111542,137.67430886387962,137.7341989759377,137.76491623719204,137.70216346153887,137.68613252416029,137.60534127331044,137.55230762401703,22-12-27-rings-morning_min4,1.28603069134631,2022-12-27,morning,4,R,3
